,T_ext,T_ext1,T_ext2
597,-5,-0.9543244,-3.542060132
598,-5,-1.107154358,-3.662318458
599,-5,-1.255100088,-3.759909577
600,-6.1,-1.399490934,-4.305032762
601,-6.7,-1.543663767,-4.763780924
602,-6.7,-1.693861672,-4.970140594
603,-7.2,-1.852994262,-5.320439908
604,-7.8,-2.017973559,-5.743024267
605,-7.2,-2.18384953,-5.685676518
606,-7.2,-2.348064453,-5.747461894
607,-8.3,-2.507856273,-6.279168086
608,-8.9,-2.664780266,-6.731251774
609,-8.9,-2.826311356,-6.934123907
610,-9.4,-2.996246101,-7.28272216
611,-10,-3.172016121,-7.704719201
612,-10.6,-3.353741916,-8.152795531
613,-10.6,-3.541522315,-8.363321773
614,-10.6,-3.735059139,-8.510351476
615,-11.1,-3.927634244,-8.83728556
616,-13.3,-4.125862055,-9.92265
617,-14.4,-4.339985315,-10.77349276
618,-15.6,-4.584430036,-11.65166158
619,-16.1,-4.860487185,-12.25687187
620,-17.2,-5.165234589,-13.04715847
621,-17.8,-5.48882546,-13.67222617
622,-17.8,-5.8241626,-14.0062033
623,-18.9,-6.167162384,-14.71339706
624,-19.4,-6.510509949,-15.25644965
625,-19.4,-6.853736033,-15.55518463
626,-20,-7.196080129,-16.03101304
627,-20,-7.530817052,-16.28792392
628,-20,-7.855572145,-16.48277068
629,-20,-8.166873617,-16.64493086
630,-21.1,-8.466305038,-17.24816552
631,-21.1,-8.754910194,-17.50742263
632,-21.1,-9.038704492,-17.68877858
633,-20,-9.311467688,-17.37218243
634,-17.8,-9.556563468,-16.4352022
635,-16.7,-9.757240364,-15.73951386
636,-16.1,-9.899933361,-15.26048932
637,-15,-9.985508736,-14.61255419
638,-15,-10.02783696,-14.37556092
639,-15.6,-10.04120986,-14.49419985
640,-15.6,-10.04206689,-14.47950825
641,-17.2,-10.05195738,-15.12866834
642,-17.8,-10.08072214,-15.55721837
643,-17.8,-10.13710266,-15.71726504
644,-18.3,-10.22216068,-16.02173051
645,-17.8,-10.32149977,-15.93936474
646,-17.2,-10.42589426,-15.70941462
647,-17.2,-10.52585465,-15.66819699
648,-17.2,-10.61427357,-15.66216097
649,-17.2,-10.69315822,-15.66767866
650,-17.2,-10.76608718,-15.6782419
651,-17.2,-10.83549,-15.69119426
652,-16.7,-10.90062491,-15.49476138
653,-16.7,-10.96086828,-15.44768994
654,-16.7,-11.01424228,-15.43026102
655,-16.7,-11.06205268,-15.42375166
656,-16.1,-11.10480535,-15.17016398
657,-15,-11.13821061,-14.63525508
658,-12.8,-11.14818448,-13.53886403
659,-12.8,-11.12644306,-13.17661346
660,-11.1,-11.06139456,-12.2598186
661,-10.6,-10.96059946,-11.7035849
662,-9.4,-10.82738046,-10.92629293
663,-8.9,-10.66632444,-10.38399576
664,-8.9,-10.4845668,-10.10602444
665,-8.3,-10.29053607,-9.658796018
666,-8.3,-10.09524001,-9.43365744
667,-7.8,-9.90205458,-9.061101182
668,-7.8,-9.714747604,-8.870104646
669,-7.8,-9.534914749,-8.730190952
670,-8.3,-9.367336506,-8.827570862
671,-8.3,-9.215769127,-8.794127129
672,-8.3,-9.083252701,-8.744677246
673,-7.8,-8.966120158,-8.484441844
674,-7.2,-8.856877826,-8.123534725
675,-7.2,-8.749325925,-7.974687528
676,-7.2,-8.640219008,-7.876147119
677,-7.2,-8.532373728,-7.800156736
678,-6.7,-8.427416034,-7.527264843
679,-7.2,-8.328467563,-7.623135922
680,-7.8,-8.237799443,-7.859276557
681,-8.9,-8.165439214,-8.367002983
682,-8.3,-8.115398287,-8.258680533
683,-8.9,-8.087866026,-8.505455728
684,-8.3,-8.073359365,-8.327920474
685,-8.3,-8.067460152,-8.292703744
686,-7.8,-8.059885851,-8.068215225
687,-8.3,-8.048726276,-8.208840588
688,-8.9,-8.037209773,-8.485126518
689,-10.6,-8.038234473,-9.281278575
